遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m FreestyleWomen,47,ANT HO NY  Cl a i r e,1957,65-69,CNS P ORT CIT YW OLUW E,34. 98,Women,50m,Freestyle,,,,
50m FreestyleWomen,48,MA G N U S S O N  C a r o l i n e,1956,65-69,T A B YS IM,34. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,49,DO BBI E  V e r i t y,1959,65-69,DE RW E NT S IDE & GA T E S HE A DS T,34. 24,Women,50m,Freestyle,,,,
50m FreestyleWomen,50,BAL BUE NA E S P ARZ A L o l a,1959,65-69,C.N.S A B A DE LL,34. 20,Women,50m,Freestyle,,,,
50m FreestyleWomen,51,GANZ E  Ca t h y,1957,65-69,S A NDIE GOS W IM M A S T E RS,33. 61,Women,50m,Freestyle,,,,
50m FreestyleWomen,52,TRUS LE R I ngr i d,1959,65-69,COE LA CA NT HM S C,33. 34,Women,50m,Freestyle,,,,
50m FreestyleWomen,53,HO NDA Mi y u k i,1960,65-69,COLORFUL,32. 98,Women,50m,Freestyle,,,,
50m FreestyleWomen,54,RO CHAT  Ch a n t a l,1960,65-69,S W IS S A LUM NIS W IM M ING,32. 61,Women,50m,Freestyle,,,,
50m FreestyleWomen,55,KUL A- P RZ E Z WANS KI  He l e n,1959,65-69,DE V ONP ORT RS A,32. 60,Women,50m,Freestyle,,,,
50m FreestyleWomen,56,CO RNE L L I  Al e s s a n d r a,1956,65-69,CIRCOLOCA NOT T IE RIA NIE NE,32. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,57,GARAY  J u d y,1960,65-69,T E A M RE DB IRD,32. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,1,YI N Da ny ue,1965,60-64,S HA NGHA IS W IM S T A RS C,48. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,ME E R J A N S S E N  Ma r i a,1963,60-64,T HE M E RM A IDS -S V,47. 38,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,NAKAT ANI  Ka t s u k o,1963,60-64,CA CS C,47. 19,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,GUL E R De n i z,1965,60-64,US K UDA RS US P ORLA RIS .K,46. 80,Women,50m,Freestyle,,,,
